2025-12-02 02:46:08 [LEO Monitor] Polling started. Interval=1.0s
2025-12-02 02:49:05 Window 067 | Rate: 10050.62 Bps | EWMA:  5794.57 Bps | RTT:   11.5ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:49:06 Window 068 | Rate:  8490.07 Bps | EWMA:  6064.12 Bps | RTT:   11.5ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:49:07 Window 069 | Rate:  6752.22 Bps | EWMA:  6132.93 Bps | RTT:   11.5ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:49:07 [LEO Monitor] Stopped.
2025-12-02 02:51:06 [LEO Monitor] Polling started. Interval=1.0s
2025-12-02 02:51:07 Window 001 | Rate:     0.00 Bps | EWMA:     0.00 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:51:08 Window 002 | Rate:     0.00 Bps | EWMA:     0.00 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:51:09 Window 003 | Rate:     0.00 Bps | EWMA:     0.00 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:51:10 Window 004 | Rate:     0.00 Bps | EWMA:     0.00 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:51:11 Window 005 | Rate:     0.00 Bps | EWMA:     0.00 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:51:12 Window 006 | Rate:     0.00 Bps | EWMA:     0.00 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:51:13 Window 007 | Rate:     0.00 Bps | EWMA:     0.00 Bps | RTT:  110.0ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
